"Symbol 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 23-Mar-2022","30 D % CHNG 
 21-Feb-2023"
BIOCON,199.05,207.9,198.85,198.7,205.5,6.8,3.42,11567177,"2,37,52,04,125.18",388,191.55,-43.05,-12.2
NAUKRI,"3,474.45","3,575.10","3,470.00","3,475.60","3,562.00",86.4,2.49,351016,"1,24,71,35,276.88","4,917.55","3,308.20",-22.68,-2.25
HAL,"2,525.00","2,636.00","2,525.00","2,567.50","2,626.00",58.5,2.28,2896915,"7,50,52,40,474.55","2,914.00","1,381.00",84.08,1.33
VEDL,271.5,274.2,269.55,269.75,273.4,3.65,1.35,9241416,"2,51,83,78,274.16",440.75,206,-34.3,-8.39
DABUR,534.2,546,534.2,536.4,541.5,5.1,0.95,1319040,"71,45,63,539.20",610.75,482.25,3.19,0.28
GODREJCP,950.05,965.55,948.45,951.2,960,8.8,0.93,1430882,"1,37,00,26,588.54",965.55,667.1,38.89,2.52
TORNTPHARM,"1,517.90","1,545.95","1,513.55","1,517.90","1,529.00",11.1,0.73,115889,"17,81,23,710.78","1,750.00","1,242.08",-44.67,2.53
BERGEPAINT,576.4,580.55,570.3,573.7,577.55,3.85,0.67,378098,"21,79,16,782.30",743,527.15,-16.69,2.8
MUTHOOTFIN,958.35,980.45,949.05,962.35,968.05,5.7,0.59,675233,"65,33,95,964.78","1,384.00",911.25,-26.41,-0.32
PAYTM,623.45,638,618.1,619.45,623,3.55,0.57,4968561,"3,12,01,07,251.17",844.7,438.35,13.45,-0.65
BANKBARODA,159.5,162.4,158.5,159.8,160.6,0.8,0.5,50782776,"8,16,02,84,275.44",197.2,89.85,47.28,3.36
MARICO,477.2,483,474.35,477.2,479.5,2.3,0.48,1033075,"49,52,04,501.25",554.35,468.5,-0.19,-4.33
BAJAJHLDNG,"6,059.90","6,084.85","6,021.00","6,034.25","6,055.00",20.75,0.34,16469,"9,95,04,380.48","7,378.45","4,294.05",20.71,-1.13
HDFCAMC,"1,670.00","1,684.85","1,633.50","1,672.85","1,677.95",5.1,0.3,763025,"1,26,91,01,331.25","2,480.00","1,589.50",-22.1,-7.84
GAIL,102.75,104.25,102.35,103.5,103.7,0.2,0.19,9549241,"98,77,73,489.04",115.67,83,-29.9,0.05
BEL,93.1,93.75,91.35,91.55,91.65,0.1,0.11,15956470,"1,47,45,37,392.70",114.65,67.85,-55.56,-3.99
SRF,"2,380.10","2,401.90","2,373.15","2,381.45","2,384.00",2.55,0.11,388145,"92,79,88,710.35","2,865.00","2,002.20",-8.92,7.06
INDUSTOWER,148.55,151.7,147,148.05,148.05,-,-,3273107,"48,99,51,386.83",230.9,135.15,-27.1,-13.52
SHREECEM,"25,450.00","25,805.90","25,331.60","25,511.65","25,500.00",-11.65,-0.05,37651,"96,50,37,299.12","27,049.00","17,865.20",9.68,0.39
PIIND,"2,945.00","2,960.00","2,910.05","2,934.10","2,932.75",-1.35,-0.05,97375,"28,59,50,451.25","3,698.45","2,364.55",4.96,-5.8
COLPAL,"1,504.95","1,511.95","1,490.10","1,500.95","1,499.80",-1.15,-0.08,190364,"28,60,94,248.32","1,695.95","1,434.60",-1.17,2.49
ICICIPRULI,420.85,421.35,417,420.25,419.55,-0.7,-0.17,1111653,"46,63,94,016.15",608.75,380.7,-13.93,5.14
ICICIGI,"1,077.95","1,084.20","1,065.85","1,076.40","1,074.50",-1.9,-0.18,394553,"42,46,57,393.90","1,412.00","1,049.05",-14.95,-1.17
PGHH,"13,800.00","13,897.00","13,650.00","13,742.90","13,700.00",-42.9,-0.31,12841,"17,59,80,383.37","15,500.00","12,801.00",-7.35,0.17
AMBUJACEM,372.6,374.8,367.45,371.8,370.5,-1.3,-0.35,6286788,"2,33,06,38,047.36",598,288.5,24.85,7.69
BOSCHLTD,"18,502.00","18,650.00","18,301.05","18,452.65","18,350.00",-102.65,-0.56,24223,"44,73,05,551.45","18,948.95","12,932.45",31.31,3.61
ACC,"1,701.00","1,709.35","1,680.50","1,700.85","1,691.25",-9.6,-0.56,340273,"57,55,54,765.85","2,785.00","1,659.00",-17.6,-1.68
PIDILITIND,"2,356.00","2,370.00","2,335.70","2,364.55","2,350.05",-14.5,-0.61,190332,"44,72,95,426.56","2,918.95","1,988.55",-3.74,3.9
LTIM,"4,620.00","4,663.45","4,550.00","4,601.45","4,565.00",-36.45,-0.79,249047,"1,14,57,73,099.61","5,107.75","4,121.00",-,-5.19
MPHASIS,"1,745.10","1,768.55","1,720.10","1,737.40","1,723.00",-14.4,-0.83,542536,"94,91,01,627.68","3,465.80","1,720.10",-47.02,-20.95
MOTHERSON,64.75,64.9,63.5,64.75,64.1,-0.65,-1,17431341,"1,11,66,51,704.46",97.53,61.8,-,-21.47
SBICARD,718,725.7,715,723.55,715.3,-8.25,-1.14,965360,"69,47,40,631.20","1,028.65",655.7,-16.16,-3.05
ZOMATO,50.7,51.3,49.25,50.65,50.05,-0.6,-1.18,49613843,"2,50,05,37,687.20",88.7,40.6,-37.16,-6.98
INDIGO,"1,867.15","1,880.05","1,826.05","1,865.20","1,842.00",-23.2,-1.24,382144,"70,68,17,363.84","2,180.00","1,511.75",-3.88,0.64
SIEMENS,"3,333.45","3,355.55","3,276.55","3,333.45","3,288.90",-44.55,-1.34,284596,"94,42,12,687.08","3,355.55","2,150.10",46.6,2.68
DMART,"3,367.00","3,369.00","3,300.30","3,358.40","3,312.00",-46.4,-1.38,211465,"70,35,10,220.60","4,609.00","3,186.00",-16.07,-4.02
HAVELLS,"1,181.05","1,189.35","1,162.30","1,181.45","1,165.00",-16.45,-1.39,269384,"31,69,51,826.72","1,405.55","1,024.50",2.86,0.05
DLF,355.2,357.45,347.45,354.25,348.75,-5.5,-1.55,2815048,"99,13,47,303.68",418.5,294.7,-2.97,2.37
CHOLAFIN,727.65,729.95,709.9,727.65,715.95,-11.7,-1.61,1826023,"1,30,77,97,672.60",817.75,600,-0.63,-4.61
IOC,78,78.4,76.75,78.4,76.9,-1.5,-1.91,4838584,"37,59,57,976.80",90.7,65.2,-34.01,1.36
MCDOWELL-N,765,765.75,746,763.75,746.95,-16.8,-2.2,530099,"40,02,77,754.90",951.8,712,-13.91,2.74
NYKAA,134.75,136.4,132.7,137.65,134.2,-3.45,-2.51,13714447,"1,83,96,55,920.58",315.44,120.7,-91.38,-3.17
BANDHANBNK,204,205.75,196.8,203.1,197.35,-5.75,-2.83,7021450,"1,40,82,92,226.50",349.55,196.8,-32.29,-11.23
LICI,560.1,562.65,539.1,560,541.8,-18.2,-3.25,1739694,"95,87,45,363.40",918.95,539.1,-,-4.21
TATAPOWER,192.9,194,184.45,192.75,186.3,-6.45,-3.35,22242723,"4,18,25,21,632.92",298.05,184.45,-20.14,-4.72
IRCTC,598.05,599.95,576.7,600.05,578.5,-21.55,-3.59,1428618,"84,12,13,136.94",840.95,557,-22.08,-1.28
ADANITRANS,"1,150.00","1,168.30","1,068.35","1,124.55","1,068.35",-56.2,-5,1909744,"2,10,16,54,174.56","4,236.75",631.5,-54.08,57.88
ATGL,"1,027.60","1,040.00",957.1,"1,007.45",957.1,-50.35,-5,2103436,"2,08,06,97,856.84","4,000.00",650,-50.97,34.01
ADANIGREEN,"1,060.00","1,074.50",977.9,"1,029.35",977.9,-51.45,-5,7656027,"7,82,18,56,544.82","3,050.00",439.1,-46.42,111.58
