SYMBOL,"OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 23-Mar-2022","30 D % CHNG 
 21-Feb-2023"
TECHM,"1,020.40","1,065.80","1,020.40","1,023.70","1,057.20",33.5,3.27,"29,73,588","3,12,25,05,287.04","1,299.00",943.70,-18.69,-7.09
ONGC,159.5,164.2,159.35,158.95,164.05,5.1,3.21,"77,45,502","1,26,05,80,450.50",168.4,119.85,-0.93,5.23
HINDALCO,439.00,449.90,438.00,436.10,446.05,9.95,2.28,"28,84,369","1,28,36,30,736.07",504.00,308.95,-9.64,7.59
UPL,744.3,759.95,743.55,740.3,755.8,15.5,2.09,"10,27,261","77,66,70,951.66",848,607.5,-10.04,3.16
JSWSTEEL,731.95,746.50,728.50,725.30,739.80,14.5,2,"9,24,805","68,30,05,484.70",777.50,520.05,-0.25,5.41
AXISBANK,870,875.6,864.25,860,875.25,15.25,1.77,"74,16,711","6,46,15,12,790.31",970,618.25,18.03,0.17
INFY,"1,254.55","1,277.95","1,254.55","1,252.75","1,273.25",20.5,1.64,"42,43,925","5,38,32,49,105.50","1,672.60","1,185.30",-20.08,-12.27
EICHERMOT,"3,326.95","3,383.80","3,325.00","3,301.10","3,355.10",54,1.64,"4,19,833","1,40,57,60,420.54","3,889.65","2,310.00",25.5,11.95
NTPC,172.65,175.00,172.55,172.00,174.60,2.6,1.51,"43,62,408","75,71,83,156.56",182.95,134.95,10.12,-1.77
MARUTI,"8,622.70","8,719.50","8,606.00","8,589.55","8,706.95",117.4,1.37,"3,53,667","3,07,10,21,417.79","9,769.00","7,062.35",11.3,3.59
LT,"2,373.20","2,416.35","2,373.20","2,364.40","2,396.50",32.1,1.36,"10,20,129","2,44,50,45,187.20","2,416.35","1,456.35",39.55,9.25
TATASTEEL,108,110.05,108,107.95,109.40,1.45,1.34,"2,29,89,781","2,51,23,23,267.68",133.00,82.7,-91.51,3.3
WIPRO,389.00,392.15,387.45,385.00,389.75,4.75,1.23,"28,59,390","1,11,58,48,353.60",528.50,352.00,-24.33,5.41
BPCL,358.3,364.9,358,357.6,362,4.4,1.23,"18,62,665","67,32,60,264.25",372.7,288.05,-1.38,3.86
COALINDIA,233.2,236.5,233.1,233.1,235.7,2.6,1.12,"16,21,058","38,19,05,054.22",263.4,164.65,27.48,9.1
HDFCLIFE,530.00,535.50,529.55,529.75,535.45,5.7,1.08,"14,11,062","75,27,16,913.28",620.60,457.80,-9.04,6.12
BAJAJ-AUTO,"4,439.95","4,505.90","4,424.05","4,431.95","4,478.70",46.75,1.05,"2,66,358","1,19,23,19,624.04","4,505.90","3,460.00",18.83,14.09
SBILIFE,"1,147.00","1,158.25","1,144.35","1,140.10","1,150.00",9.9,0.87,"3,34,270","38,46,94,629.50","1,340.35","1,033.20",3.13,3.54
ICICIBANK,924,925.55,918.7,917.65,924.9,7.25,0.79,"52,69,961","4,85,82,71,646.68",958.2,669.95,23.46,4.61
RELIANCE,"2,436.20","2,445.00","2,428.10","2,420.50","2,437.90",17.4,0.72,"23,29,528","5,67,50,56,341.92","2,856.15","2,180.00",-13.25,3.84
POWERGRID,238.70,241.15,238.25,237.25,238.95,1.7,0.72,"20,41,928","48,97,36,011.52",248.35,186.35,4.17,5.12
HDFC,"2,791.50","2,804.00","2,781.00","2,775.60","2,793.85",18.25,0.66,"18,24,504","5,10,02,73,216.72","2,827.95","2,026.00",24.48,5.72
TATACONSUM,767.95,771.00,764.95,763.85,768.65,4.8,0.63,"4,02,387","30,91,61,979.84",861.15,686.60,-7.27,7.76
NESTLEIND,"21,800.00","22,099.00","21,765.00","21,761.40","21,878.00",116.6,0.54,"42,716","93,88,28,052.92","22,099.00","16,000.00",18.72,10.44
M&M,"1,230.00","1,237.80","1,217.50","1,226.90","1,232.05",5.15,0.42,"11,76,407","1,44,32,04,343.53","1,397.00",853.7,33.05,5.89
INDUSINDBK,"1,158.95","1,161.85","1,150.00","1,152.80","1,157.50",4.7,0.41,"8,64,951","1,00,11,54,833.97","1,275.80",763.20,17.81,7.95
HDFCBANK,"1,688.70","1,699.00","1,685.35","1,687.60","1,693.95",6.35,0.38,"51,57,829","8,73,93,22,301.02","1,720.00","1,271.60",21.88,4.85
HCLTECH,"1,064.10","1,074.80","1,064.00","1,064.10","1,067.95",3.85,0.36,"9,59,108","1,02,61,49,649.20","1,156.65",877.35,-1.4,-1.95
CIPLA,910.4,916,908.75,908.05,910,1.95,0.21,"5,99,708","54,72,39,547.08","1,185.25",852,-7.46,0.84
GRASIM,"1,720.30","1,728.85","1,715.55","1,720.30","1,723.55",3.25,0.19,"1,31,420","22,63,40,723.40","1,839.50","1,276.60",1.65,5.37
